Recipe Name,Ingredients,Time to cook,Cuisine,Instructions,Cleaned-Ingredients,Ingredient-count,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Chinese Darsaan Recipe With Ice Cream,"Water - to make the dough,2 tablespoon Sugar,2 tablespoons Water,1/2 teaspoon Vanilla Extract,1 tablespoon Sunflower Oil,2 tablespoons Honey,1/4 teaspoon Baking powder,1 tablespoon Sesame seeds (Til seeds) - white,All Purpose Flour (Maida),Sunflower Oil - to deep fry",40,Chinese,"To begin making the Chinese Darsaan Recipe With Ice Cream, we will first make the dough for the honey tossed flat noodles.
To make the Flat Noodles In a mixing bowl, combine the all purpose flour, with the baking powder, and oil, using just enough water, make a smooth soft dough.
Once the dough is ready, divide into equal portions of lemon sized balls.
Dust each of those dough balls with flour and roll out like a roti using a rolling pin.
Using a paring knife, cut long strips of the dough measuring 1 centimeter size, resembling flat noodles.
Heat a saucepan with water on medium flame, along with a teaspoon of oil and bring to a boil.Once the water has come to a rolling boil, reduce the flame and gently put the noodle strips in.
Boil for about 2-3 minutes.
Once the noodles, tend to fluff up, remove from the water, using a slotted spoon and put it into a strainer that's resting on a bowl, to hold the excess water.
Do this for all the strips of dough and set aside.
Heat a kadai with oil on medium-high heat, gradually add in the boiled noodles, reduce the flame to medium-low and fry ensuring the noodles are cooked and it doesn't get the brown colour.
We need our noodles to be crispy, yet be pale in colour and not deep brown.
Remove the noodles from the kadai and place it on an absorbent paper to drain out the excess oil.
Allow it to cool.
To make the Honey Syrup In a small saucepan, combine the sugar, water and honey and bring to a single boil on medium-high flame.
Turn off the flame, add the roasted sesame seeds and give it a good mix.
Allow this honey syrup to cool down only until it is warm, toss it in the freshly fried noodles until well coated.This is the Darsaan ! Serve the Darsaan with a scoop of vanilla ice cream.Serve Chinese Darsaan Recipe with Ice Cream as dessert after a meal of Dragon Chicken Sizzler Recipe or Sweet and Sour Vegetable Recipe with Tofu & Brown Rice.
","baking powder,water make the dough,water,sugar,vanilla,flour (maida),sesame seeds (til seeds) white,sunflower oil",8,125.69,11.14,3.4,7.62,11.01,0.52,29.13,67.17,0.39,44.98,142.26
Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe," green coriander - little, oil - as per use, 1/4 cup fenugreek, curry leaves - little, 1/2 Tomato, 1/2 tsp Turmeric Powder, water - According to use, 1/4 teaspoon cumin seeds,1/2 cup Sundkai, 1/2 teaspoon mustard, 1/2 cup Arhar dal - boiled and mashed, 1/4 teaspoon asafoetida, salt - as per taste, 1 Tamarind, 1 tsp Coriander Powder, 2 tsp Sambar Powder, 1 dry red chili",65,South Indian Recipes,"To make the Sundakai Methi Sambar recipe, first take out the stem of the Sundakai and cut it.
Clean and wash the fenugreek and keep it separately.
Mix tamarind with water in a bowl.
Now heat oil in a pan.
Add asafetida to it and cook it for 10 seconds.
After 10 seconds, add mustard seeds, cumin seeds, dry red chilies and cook till the mustard seeds crackle.
Now add the sundkai and cook for 3 to 4 minutes.
Add curry leaves and mix.
Now add fenugreek and cook till the fenugreek becomes soft.
After cooking, add tomatoes, turmeric powder, sambar powder, coriander powder, salt, mix and cook for 1 minute.
After 1 minute add tamarind water, remaining water and let it boil.
After boiling for 8 to 10 minutes, add the dal to it and mix.
Cook until the sambar becomes thick and then garnish with green coriander.
Serve Sundkai Methi Sambar Recipe along with rice, beetroot thoran and papad for dinner.","tomato,turmeric powder,salt,coriander (dhania) leaves,fenugreek,sundkai,asafoetida,water,mustard,dry red chilli,curry leaves,oil,coriander powder,arhar dal,tamarind,sambar powder,cumin seeds",17,96.92,10.57,3.35,4.38,3.31,3.52,159.54,30.24,1.24,20.35,68.19
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe","1 cup Fresh Pomegranate Fruit Kernels,2 Lemon juice,2 tablespoons Extra Virgin Olive Oil,Salt and Pepper - to taste,1 cup Spinach - shredded,1 cup Cabbage (Patta Gobi/ Muttaikose) - shredded",15,Continental,"To begin making the Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe, we will first whisk in the dressing in a bowl.
Combine lemon juice, olive oil, salt and pepper well and keep aside.Using a fork emulsify the lemon and oil together and add in your fresh vegetables and fruits.Mix well, check for seasonings, if your require anything more you can add and mix again.Serve the Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe along with Baked Chicken or a Grilled Vegetable Sandwich Recipe With Herb Goat Cheese with a glass of freshly made Carrot Pineapple Orange Juice Recipe.","salt,spinach,virgin olive oil,lemon,pomegranate fruit kernels,cabbage (patta gobi muttaikose),pepper",7,78.8,8.03,5.59,2.9,7.57,0.22,204.62,194.59,0.18,5.34,39.4
Matar Samosa Recipe -Green Pea Samosa,"1 cup All Purpose Flour (Maida),Sunflower Oil - for deep frying,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1-1/2 cups Green peas (Matar) - steamed and mashed,1 teaspoon Green Chilli Sauce,1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,2 teaspoon All Purpose Flour (Maida),1/2 teaspoon Salt,2 tablespoons Ghee,1/4 cup Water,1/2 teaspoon Cinnamon Powder (Dalchini),2 teaspoon Amchur (Dry Mango Powder)",55,North Indian Recipes,"To begin making the Matar Samosa Recipe first, mix together half a teaspoon of salt into the flour.
Rub ghee or vegetable shortening into the flour mixture, with your fingers until it resembles loose bread crumbs.Gradually add water, slowly, and knead to make a soft but firm dough.
Roll the dough into a ball, cover with a moist muslin cloth and keep aside.The next step is to make the filling.
In a kadai or heavy bottomed pan, warm the ghee, add the jeera and allow it to crackle and tip in the chilli paste.
Saute these together for a minute.Add peas followed by all the other spices and cook till the pea mixture becomes dry and all the water has dried up.
Season with salt and cook again for 2-3 minutes.
Set the peas mixture aside to cool down so it is easier to handle when shaping the samosas.Make a flour paste, by combining the flour and water.To begin making the samosa cases, divide the dough into small balls and roll them into thin circles.
Cut each rolled-out circle into two halves by running your knife down the center, so you have 2 semi-circles for each disc.
Roll the semi-circles into cones and using a teaspoon fill them with the peas mixture.Dab the flour paste along the edges of the open side of the cone, press the two edges together and seal.
Arrange the matar samosas in a platter and cover them with a moist muslin cloth.Heat oil for deep frying in a kadai on medium heat.
Deep fry the matar samosas in hot oil till they are golden brown.
Try not to fry too many together as it will crowd the kadai and alter the cooking time.Remove the Matar Samosa from the kadai using a slotted spoon and drain them on kitchen paper.
Matar Samosa  can be served with a dollop of Dhaniya Pudina Chutney and khajoor imli chutney or tomato ketchup, along with masala chai in the evening.","salt,cinnamon powder (dalchini),amchur (dry mango powder),ghee,red chilli powder,green peas (matar),water,green chilli sauce,cumin seeds (jeera),flour (maida),garam masala powder,sunflower oil",12,39.81,3.63,11.06,12.9,0.87,2.49,10958.11,46.63,2.18,41.12,65.46
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,"1/2 tablespoon Baking powder,8 Fresh raspberries,1 cup All Purpose Flour (Maida),1 cup Britannia Cream Cheese,3/4 cup Caster Sugar,1/2 tablespoon Vanilla Extract,1/2 cup Cocoa Powder,1 cup Dark chocolate,1/2 cup Salted butter,1 teaspoon Vanilla Extract,3/4 cup Milk,1/2 teaspoon Baking soda,1/2 cup Sugar",40,Continental,"To begin with the Eggless Chocolate Cupcakes With Raspberry And Cream Cheese Frosting Recipe first, sieve flour, cocoa powder, baking powder, baking soda and keep aside.Take a bowl and whisk butter for 5 minutes, make sure that it is light and fluffy.
Then add vegetable oil and sugar and whisk for another 3 minutes.Further, add vanilla extract and milk (half) and whisk.In double boiling method melt the dark chocolate and Now, add in rounds the dry ingredients and fold them nicely.
Keep adding rest milk as required.Preheat the oven at 200 degree Celsius for 10 min.Pour the batter into the cup cake mould.
I used silicon mould) and bake for 15 minutes at 150 degree Celsius.Let it cool properly before frosting else the frosting will melt.For the frosting:Whisk the soft cream cheese till you get pointed peaks.Whisk in low pace to get peaks.As you whisk add sugar and vanilla extract and mix well.Grind few raspberries and add in the cream cheese mixture.Fill the icing in the piping bag with your favourite nozzle and do the icing on top of the cupcake.After icing it with cream cheese place a raspberry on it and serve it.
Serve the Eggless Chocolate Cupcakes With Raspberry And Cream Cheese Frosting Recipe for an Evening Snack or as a Dessert in a party.","cheese,baking powder,britannia,raspberries,milk,salted butter,baking soda,sugar,vanilla,dark chocolate,caster sugar,cocoa powder,flour (maida)",13,312.01,43.45,6.66,13.19,34.2,0.32,196.61,185.38,0.95,2.67,14.7
Chettinad Style Chicken Roast Recipe,"1/4 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Tamarind Paste,1 teaspoon Ghee,1 tablespoon Ghee,1 teaspoon Jaggery,2 teaspoons Coriander (Dhania) Seeds,1 teaspoon Whole Black Peppercorns,1/4 cup Hung Curd (Greek Yogurt),Salt - to taste,1/2 inch Cinnamon Stick (Dalchini),1 Onion - sliced,1/2 teaspoon Mustard seeds,4 cloves Garlic,1/2 inch Ginger,1/4 teaspoon Methi Seeds (Fenugreek Seeds),2 Cloves (Laung),2 tablespoon Fresh coconut - grated,1/2 teaspoon Turmeric powder (Haldi),2 teaspoon Cumin seeds (Jeera),1 Cardamom (Elaichi) Pods/Seeds,1 teaspoon Fennel seeds (Saunf),2 Dry Red Chillies,1 Chicken legs,1 teaspoon Sunflower Oil,1 sprig Curry leaves",35,Chettinad,"To begin making the Chettinad Style Chicken Roast Recipe, thoroughly wash and clean the chicken leg.
Keep it aside.
Heat oil in a heavy bottomed pan, on medium flame.
Add onions, coconut, ginger and garlic and cook till the onions become soft and the coconut turn light brown in colour.Turn off the flame and grind to a coarse paste with a little water in a mixer grinder.The next step is to marinate the chicken.
In a mixing bowl, add the onion coconut paste, yogurt, turmeric powder and chicken legs.Mix everything well and ensure that the chicken is properly quoted with the masala.
Keep it aside for 30 Minutes.For the Chettinad Spice MixHeat a heavy bottomed pan.
Add chettinad spice mix ingredients -  includes cumin seeds, coriander seeds, fenugreek seeds, kalonji, black peppercorn, dry red chillies, fennel seeds, cinnamon stick, cloves, cardamom and mustard seeds.Dry roast them for about 2 minutes.
Once done, let it cool down a bit.
Now, add thes spices into a mixer grinder and grind it into a powder.Heat ghee in the same pan and add this Chettinad spice mix into the ghee.
After 30 seconds, add the chicken along with all the marinade.Mix everything well, add the tamarind pulp, jaggery and 1/4 cup of water.
Cover the pan and cook for about 8 to 10 minutes or till the chicken is 3/4th done.Turn off flame.
Take out the chicken pieces seperatly and keep the masala aside.Heat a grill pan on high heat, until smoking hot and place only the chicken leg on it.Let this get a nice crispy skin by cooking it for about 5-7 minutes on each side.
Once done, turn off the heat and keep the chicken piece on a plate.The final step is to temper the chicken.
To make the tempering, heat ghee in a tadka pan on medium flame.Add mustard seeds, curry leaves and allow it to crackle.
Add the chopped garlic and fry till golden brown.
Turn off the flame.To assemble the Chettinad Style Chicken Roast Recipe, in a serving plate, place the chicken leg, top it with the thick masala and garnish with the tadka.
It is ready to be served.Serve this Chettinad Style Chicken Roast Recipe on its own as a party starter or with Kerala Style Appam Recipe (Without Yeast) or Mangalorean Neer Dosa Recipe (Savory Rice & Coconut Crepe) for a complete meal.","jaggery,cloves garlic,black peppercorns,curry leaves,coriander (dhania) seeds,onion,cumin seeds (jeera),turmeric powder,chicken legs,sunflower oil,salt,cardamom (elaichi) podsseeds,dry red chillies,tamarind paste,kalonji (onion nigella seeds),coconut,mustard seeds,methi seeds (fenugreek seeds),hung curd (greek yogurt),ginger,ghee,fennel seeds (saunf),cinnamon stick (dalchini),cloves (laung)",24,199.9,0.1,20.49,13.06,0.05,0.03,71.71,13.61,0.79,0.3,13.16
Baingan Bharta Recipe - Brinjal Bharta Recipe," 1 tomato - chopped,1 eggplant, 1 onion - finely chopped, 2 green chillies - finely chopped, 1 tablespoon oil, 1 teaspoon turmeric powder, salt - as per taste, 2 inch ginger - peel and tighten, 2 sprigs of coriander - finely chopped (for garnish), 1 teaspoon red chili powder, 1 teaspoon garam masala powder, 1 teaspoon coriander powder , 1 tablespoon butter",60,Punjabi,"To start the Brinjal Bharta, first turn on the gas.
Place the brinjals on the heat and roast them all the way around.
After 10 minutes you will see that the brinjal skin has started coming out.
Bake the eggplants and keep them aside till they become soft.
After cooling, take out the skin of the brinjals and mash them with the help of a fork.
Keep it aside.
Now heat a pan.
Add cumin seeds and let it cook for 10 seconds.
After 10 seconds, add ginger, onion and cook till the onion becomes soft.
Now add tomato, turmeric powder, green chilli, coriander powder, garam masala powder and red chili powder.
Mix all and let it cook for 3 minutes to 4 minutes.
Now add eggplant, butter and salt.
Mix, slow down the heat and let it cook for 10 minutes.
Turn off the gas and garnish with green coriander.
Serve the Brinjal Bharta with Panchamel Dal, Spinach Raita and Phulka for dinner.","tomato,turmeric powder,salt,ginger,red chilli powder,eggsplant,coriander,onion,oil,coriander powder,green chillies,butter,garam masala powder",13,65.12,4.4,1.38,4.48,1.82,3.27,132.15,17.85,0.48,24.05,92.42
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,"1 teaspoon Tea leaves,2 cups Water,1/4 cup Milk,10 Saffron strands - or more",10,North Indian Recipes,"To begin making the Kesar Chai, add water into a saucepan, along with the saffron strands and allow it to come to a brisk boil.Once it begins to boil; add the tea leaves.
Allow the tea leaves to simmer in the water for about a minute and turn off the heat.Once you add the tea leaves, allow it to brew just a little to ensure the tea stays light and does not turn bitter.Stir in the milk into the chai and allow it to rest for a few seconds.
Strain the Kesar chai into the cups and serve.
Add a few more saffron strands to the top while serving, this will give a great look and also add to the taste and flavor of the chai.Serve the Kesar chai Recipe along with Samosa or Vegetable Bajji or Pakora for an evening snack.","milk,water,saffron strands,tea leaves",4,458.61,59.7,6.05,22.01,22.42,1.9,5.65,25.71,1.23,0.01,1.1
Whole Wheat Crepe Recipe With Herbed Vegetables,"1/4 cup Cheese spread - flavoured,Salt - to taste,2 sprig Parsley leaves - roughly chopped,1 teaspoon Italian seasoning,1 cup Whole Wheat Flour,1 Red Bell pepper (Capsicum) - diced,1 pinch Salt,1 Broccoli - cut into florets,1 Onion - thinly sliced",55,Coorg,"To begin making the Whole Wheat Crepe Recipe With Herbed Vegetables, first get all the ingredients ready.In a small mixing bowl, blend all the ingredients for the crepe along with just enough water to make the crepe batter light and fluffy.
The batter should coat the back of the spoon, but at the same time it should be runny and thin.Then strain the crepe mixture through a fine mesh sieve.
Pouring the mix into a tall jug makes it easier to portion out the batter when making crepes on a hot pan.Allow the crepe batter to rest at room temperature for about 15 to 20 minutes.
This makes the crepes soft and fluffy.The next step is to toss the vegetables in a wok.Heat a teaspoon of olive oil in a wok; add the broccoli, onion, bell pepper, sprinkle some salt and toss the vegetables on high heat for just 2 to 3 minutes.
Its nice when the vegetables are not over cooked, but are just stir fried to get a crunch in the crepe.Once done, turn off the heat, check the salt and adjust to suit your taste.
Stir in the parsley and keep aside.To begin making the crepes, warm a crepe pan with a rim on a medium heat.
Butter or oil it evenly.
When the pan gets hot, pour just enough batter to cover the base, and start tilting and swirling the pan to spread the batter and make a crepe.
 These crepes gets cooked really quick and you need to cook it just until the bottom begins to get a little golden, then gently lift the edges and flip the crepe to cook on the other side for a few seconds.Transfer the prepared whole wheat crepes to a platter and cover with a dome lid to keep warm and soft.
Proceed the same way with the remaining batter and stack the crepes one on top of the other.Once the crepes are made, spread the cheese spread on the inside of the crepes, place the stir fried vegetables inside and fold into half and serve.Serve Whole Wheat Crepe Recipe With Herbed Vegetables along with Cold Coffee Smoothie and Spinach and Feta Muffins for breakfast.","salt,wheat flour,red bell pepper (capsicum),cheese flavoured,italian,parsley leaves,onion,broccoli",8,49.23,5.9,1.71,2.16,1.37,0.66,40.78,32.89,0.57,179.9,286.76
Makki and Methi Roti Recipe,"1 tablespoon Ajwain (Carom seeds),Salt - to taste,2 cups Makki Ka Atta (Yellow Corn Meal Flour),1 1/2 cups Methi Leaves (Fenugreek Leaves) - chopped,2 Green Chillies - chopped,1 tablespoon Kashmiri Red Chilli Powder",30,Punjabi,"To begin making Makki and Methi Roti Recipe, heat some water in a pan till lukewarm.In a steel mixing bowl, add Maize flour, chopped fenugreek leaves, green chillies, carom seeds and salt.
Mix everything well.
Now add lukewarm water to the maize flour little by little and knead into a soft dough.
Add some oil on top of the entire ball of dough and keep aside.
Place a tawa on low heat and let it heat up.
Next divide the dough into small balls.
Roll out each ball between two sheets of plastic (cling film) into a circle or you can use your hands with the help of wet fingers to make a small round roti.
Place roti on the the tawa and cook it on low flame from both sides until brown spots appear.
Prepare the rest of the the rotis in a similar way and serve hot.
Serve Makki and Methi Roti with Sarson Ka Saag and Burani Raita for a delicious weekday meal.","salt,makki ka atta (yellow corn meal flour),kashmiri red chilli powder,ajwain (carom seeds),methi leaves (fenugreek leaves),green chillies",6,263.97,24.19,3.49,16.85,0.7,5.19,236.22,14.76,1.11,1.99,10.72
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,"1 teaspoon Sugar,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Lemon juice,1 teaspoon Mustard seeds,3 Carrots (Gajjar) - grated,1 Green Bell Pepper (Capsicum) - thinly sliced,1/4 teaspoon Asafoetida (hing),3 cups Cabbage (Patta Gobi/ Muttaikose) - shredded,1 teaspoon Sunflower Oil,3 Green Chillies - slit lengthwise,1 sprig Curry leaves",30,Gujarati Recipes﻿,"To begin making the Cabbage and Carrot Sambharo Recipe, heat oil in a heavy bottomed pan on medium heat.
Add the mustard seeds and allow it to crackle.
Once it crackles, add the asafoetida, green chilies, curry leaves and saute for a few seconds.
 At this stage add the turmeric powder and the chopped vegetables, salt and stir to combine all the ingredients well.
Turn the heat to low, cover the pan and allow the vegetables to cook in its own steam for about 3 to 4 minutes, until just about cooked.
 You want the vegetables to remain little firm and crunchy and not too soft.Once done, turn off the heat and the Cabbage and Carrot Sambharo is ready to be served.Serve Cabbage And Carrot Sambharo along with Palak Ragi & Oats Wheat Thepla Recipe or Beetroot & Sesame Thepla Recipe for a simple mean.
","salt,mustard seeds,asafoetida (hing),carrot,curry leaves,sugar,lemon,green bell pepper (capsicum),turmeric powder,green chillies,cabbage (patta gobi muttaikose),sunflower oil",12,174.21,36.02,4.7,0.94,27.36,1.93,34.94,90.06,2.27,8.48,36.84
Paneer Tikka Saddle Roll Recipe,"Ghee - for cooking,1/2 teaspoon Turmeric powder (Haldi),1/4 cup Hung Curd (Greek Yogurt),1/4 cup Mint Leaves (Pudina) - finely chopped,1 tablespoon Gram flour (besan),1/2 Lemon - juice extracted,Salt - to taste,1 teaspoon Garam masala powder,1 Coal - for giving a smoked flavour,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),4 cloves Garlic - finely chopped,1/4 cup Mint Leaves (Pudina) - chopped,200 grams Paneer (Homemade Cottage Cheese) - thinly sliced,1 Green Bell Pepper (Capsicum) - thinly sliced,2 cups Whole Wheat Flour,1 tablespoon Ghee - for cooking,2 Onion - thinly sliced,1 inch Ginger - finely chopped,1 teaspoon Chaat Masala Powder",60,Bengali Recipes,"To begin making the Paneer Tikka Kathi Roll Recipe, get all the ingredients prepped and ready.
If you are making paneer at home you can use our homemade paneer recipe.To make the paneer tikka, add all the ingredients for Paneer Tikka in a bowl except the paneer and stir them well until combined.Add the cut paneer pieces into it and allow it to rest for 5 minutes.Heat a teaspoon of oil or ghee in a wok or a skillet, add the paneer mixture and sauté over high heat for four to five minutes, stirring occasionally and cook the paneer until all the marination thickens and forms a coat over the paneer.Once done, check the salt and spice and adjust to suit your taste.
Keep this aside.Next step is the give the paneer tikka a smoked flavour.
Place a large piece of coal on the gas flame and allow it to turn red hot.Place a katori in the center of the paneer tikka pan, place the red hot coal in the katori/ cup and spoon a little bit of ghee over the coal.
It will begin to emit smoke.
Cover the pan and allow the paneer tikka to get the smoky flavours.After about 30 seconds, remove the coal cup and the smoked paneer tikka is ready.The next step is to make the roti for the rolls.
In a large mixing bowl add the flour and salt, give it mix with your fingers.
Add a little water at a time and make a smooth dough.Once you have the dough ready, add a teaspoon of oil over the dough and knead for a couple of minutes, this will give the dough a flaky texture.To make the wrap for the kathi rolls, divide the dough into 5 large portions.
Roll the dough into a large circle by dusting it in flour.
Preheat a skillet on medium heat, place the rolled dough on the skillet and cook it on both sides by smearing ghee over it until it is cooked through and browned and slightly crisp.The addition of ghee helps in creating a crisp texture to the rolls.In a small mixing bowl, combine the raw onions, capsicum, lemon, mint leaves and salt.
Toss them together.Place the cooked rotis on a flat surface and place a portion of the filling towards the center, sprinkle some onion capsicum mixture and if you like a little more chaat masala and roll it up tightly.The Paneer Tikka Kathi rolls are now ready to be served.
Proceed the same way with the remaining dough portions and serve.Serve the Paneer Tikka Kathi Rolls as a snack for tea on weekends, as an appetizer for parties along Mumbai Style Tawa Pulao Recipe With Moong Sprouts and Nawabi Kofta Curry Recipe or make it less spicy and pack it into your kid's lunch box.","salt,wheat flour,hung curd (greek yogurt),ginger,ghee,paneer,chaat masala powder,cloves garlic,gram flour (besan),onion,lemon,coal giving smoked flavour,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder",17,285.94,20.1,6.92,19.55,3.29,2.4,221.03,101.66,1.42,18.67,54.04
Pan Fried Rice Balls Filled With Cheese Recipe,"3 Whole Eggs - beaten with a fork,2 tablespoon Extra Virgin Olive Oil,2 tablespoon Butter (unsalted),1 cup All Purpose Flour (Maida),1 cup Sweet corn,Sunflower Oil - for deep frying,1 cup Mozzarella cheese - cut into small cubes,1 Onion - finely chopped,2 cups Jasmine Rice,1/4 cup Parsley leaves - finely chopped,1 cup Parmesan cheese - grated,1 cup Whole Wheat Bread crumbs,1 teaspoon Salt",65,Continental,"To begin with the Pan Fried Rice Balls Filled With Cheese Recipe, first in a heavy bottomed pot, heat oil over medium heat and add some butter.
As the butter melts, add diced onion and saute until soft for about 4-5 minutesAdd rice and give a stir to coat with oil.Now add 5 cups of water to the rice and 1 teaspoon of salt.
Cover and cook until water has been completely absorbed by the rice.Stir in the corn and cook covered for another 5 minutes and check if the rice has cooked and absorbed all the water.
Allow it to cool.
Once cooled, combine parsley and parmesan cheese to the mixture.Make rice balls using hand and stuff each ball with a small cube of mozzarella cheese in the centre.
The cheese cube should be totally covered with the rice mixture.Arrange flour in a bowl, 3 beaten eggs in another and breadcrumbs in the third ballCoat the rice balls with all purpose flour.
Shake off the excess flour.
Dip the balls in the beaten egg.
Finally, roll balls in breadcrumbs until it is evenly coated with it.
Repeat for the remaining balls.
Heat some oil in skillet over medium flame.
Once hot add the coated rice balls in batches and cook until they turn golden brown.Your Pan Fried Rice Balls Filled With Cheese Recipe is ready to be served.Serve the Pan Fried Rice Balls Filled With Cheese Recipe with classic Marinara sauce or ranch for evening snack.","salt,jasmine rice,eggs fork,mozzarella cheese,virgin olive oil,onion,parsley leaves,sweet corn,parmesan cheese,flour (maida),wheat bread crumbs,butter,sunflower oil",13,681.28,4.81,2.21,72.57,0.63,0.18,120.7,30.01,0.32,0.01,2.95
Bengali radish potato vegetable recipe,"1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1/2 teaspoon Kalonji (Onion Nigella Seeds),Salt - to taste,2 Potato (Aloo) - cut into small piece,1 teaspoon Red Chilli powder,1 Onion - chopped,1 Green Chilli - chopped,3 Mooli/ Mullangi (Radish) - cut into small piece,3 tablespoons Kasundi mustard sauce,1/2 teaspoon Sugar,1 tablespoon Mustard oil - adjustable,1/2 teaspoon Cumin seeds (Jeera)",35,Bengali Recipes,"To begin making the Bengali Mooli Aloo Ki Sabzi recipe, heat mustard oil in a heavy bottomed pan.Add the mustard seeds, cumin seeds, nigella seeds and saute them for about 10 seconds.After 10 seconds, add green chilli and onion.
Cook till the onion becomes soft and translucent.
Once the onions become translucent, add the potatoes in the pan.
Stir them for a while on a medium heat.
Then put the radish into the pan.
Fry them for 4-5 minutes on a medium flame.Next add in all the spice powders, red chilli powder, turmeric powder, sugar and salt to taste.
Mix well to combine.Add little water to the vegetables and cover them with a lid.
Allow them cook for few minutes on a low flame and keep stirring in between.When the veggies are cooked, add the the mustard paste and mix it with the vegetables properly.
You can make the curry semi liquid or dry.
Cook for 2 more minutes and turn off the heat.Transfer Bengali Mooli Aloo Ki Sabzi into a serving bowl.Serve Bengali Mooli Aloo Ki Sabzi along with Bengali Style Lau Die Tetor Dal and Steamed Rice for a weekday lunch.
","salt,kasundi mustard sauce,kalonji (onion nigella seeds),green chilli,mustard oil,mustard seeds,potato (aloo),red chilli powder,sugar,onion,cumin seeds (jeera),turmeric powder,mooli mullangi (radish)",13,174.21,36.02,4.7,0.94,27.36,1.93,34.94,90.06,2.27,8.48,36.84
